,gpu usage(%),mem usage(%),mem usage(MB)
0,0 %, 0 %, 10 MiB
1,0 %, 0 %, 10 MiB
2,0 %, 0 %, 10 MiB
57,0 %, 0 %, 10 MiB
58,0 %, 0 %, 10 MiB
59,0 %, 0 %, 145 MiB
60,0 %, 0 %, 241 MiB
61,0 %, 0 %, 241 MiB
62,0 %, 0 %, 241 MiB
63,11 %, 0 %, 2289 MiB
64,0 %, 0 %, 2289 MiB
65,0 %, 0 %, 10759 MiB
66,0 %, 0 %, 10759 MiB
67,100 %, 55 %, 10759 MiB
68,100 %, 55 %, 10759 MiB
69,100 %, 57 %, 10759 MiB
70,100 %, 56 %, 10759 MiB
71,100 %, 58 %, 10759 MiB
72,98 %, 70 %, 10759 MiB
73,98 %, 67 %, 10759 MiB
74,100 %, 52 %, 10759 MiB
75,100 %, 55 %, 10759 MiB
76,100 %, 59 %, 10759 MiB
77,98 %, 61 %, 10759 MiB
78,0 %, 0 %, 10759 MiB
79,0 %, 0 %, 10759 MiB
80,0 %, 0 %, 10759 MiB
81,100 %, 57 %, 10759 MiB
82,100 %, 57 %, 10759 MiB
83,100 %, 58 %, 10759 MiB
84,100 %, 60 %, 10759 MiB
85,100 %, 65 %, 10759 MiB
86,97 %, 67 %, 10759 MiB
87,100 %, 57 %, 10759 MiB
88,97 %, 62 %, 10759 MiB
89,100 %, 51 %, 10759 MiB
90,100 %, 50 %, 10759 MiB
91,100 %, 65 %, 10759 MiB
92,100 %, 51 %, 10759 MiB
93,100 %, 57 %, 10759 MiB
94,98 %, 66 %, 10759 MiB
95,100 %, 63 %, 10759 MiB
96,100 %, 62 %, 10759 MiB
97,98 %, 69 %, 10759 MiB
98,100 %, 54 %, 10759 MiB
99,100 %, 56 %, 10759 MiB
100,99 %, 67 %, 10759 MiB
101,100 %, 58 %, 10759 MiB
102,100 %, 55 %, 10759 MiB
103,100 %, 59 %, 10759 MiB
104,98 %, 64 %, 10759 MiB
105,100 %, 58 %, 10759 MiB
106,100 %, 61 %, 10759 MiB
107,97 %, 62 %, 10759 MiB
108,100 %, 57 %, 10759 MiB
109,100 %, 61 %, 10759 MiB
110,100 %, 60 %, 10759 MiB
111,97 %, 68 %, 10759 MiB
112,100 %, 65 %, 10759 MiB
113,100 %, 54 %, 10759 MiB
114,98 %, 69 %, 10759 MiB
115,94 %, 67 %, 10759 MiB
116,100 %, 54 %, 10759 MiB
117,100 %, 53 %, 10759 MiB
118,98 %, 64 %, 10759 MiB
119,100 %, 55 %, 10759 MiB
120,100 %, 50 %, 10759 MiB
121,100 %, 60 %, 10759 MiB
122,97 %, 60 %, 10759 MiB
123,100 %, 52 %, 10759 MiB
124,100 %, 51 %, 10759 MiB
125,98 %, 72 %, 10759 MiB
126,98 %, 67 %, 10759 MiB
127,100 %, 10 %, 10 MiB
128,0 %, 0 %, 10 MiB
129,0 %, 0 %, 10 MiB
130,0 %, 0 %, 10 MiB
131,0 %, 0 %, 10 MiB
3,0 %, 0 %, 10 MiB
4,0 %, 0 %, 145 MiB
5,0 %, 0 %, 241 MiB
6,0 %, 0 %, 241 MiB
7,0 %, 0 %, 241 MiB
8,0 %, 0 %, 241 MiB
9,0 %, 0 %, 2293 MiB
10,0 %, 0 %, 2293 MiB
11,0 %, 0 %, 2293 MiB
12,0 %, 0 %, 8473 MiB
13,0 %, 0 %, 8473 MiB
14,99 %, 58 %, 8473 MiB
15,95 %, 65 %, 8473 MiB
16,99 %, 57 %, 8473 MiB
17,99 %, 57 %, 8473 MiB
18,95 %, 65 %, 8473 MiB
19,99 %, 57 %, 8473 MiB
20,95 %, 64 %, 8473 MiB
21,0 %, 0 %, 8473 MiB
22,0 %, 0 %, 8473 MiB
23,99 %, 57 %, 8473 MiB
24,0 %, 0 %, 8473 MiB
25,0 %, 0 %, 8473 MiB
26,99 %, 57 %, 8473 MiB
27,99 %, 59 %, 8473 MiB
28,99 %, 55 %, 8473 MiB
29,95 %, 66 %, 8473 MiB
30,99 %, 54 %, 8473 MiB
31,96 %, 67 %, 8473 MiB
32,99 %, 55 %, 8473 MiB
33,99 %, 59 %, 8473 MiB
34,99 %, 53 %, 8473 MiB
35,95 %, 67 %, 8473 MiB
36,99 %, 52 %, 8473 MiB
37,99 %, 47 %, 8473 MiB
38,99 %, 54 %, 8473 MiB
39,98 %, 66 %, 8473 MiB
40,95 %, 67 %, 8473 MiB
41,99 %, 58 %, 8473 MiB
42,98 %, 64 %, 8473 MiB
43,95 %, 66 %, 8473 MiB
44,95 %, 70 %, 8473 MiB
45,96 %, 56 %, 8473 MiB
46,99 %, 57 %, 8473 MiB
47,99 %, 53 %, 8473 MiB
48,99 %, 51 %, 8473 MiB
49,99 %, 56 %, 8473 MiB
50,99 %, 54 %, 8473 MiB
51,98 %, 64 %, 8473 MiB
52,99 %, 55 %, 8473 MiB
53,99 %, 48 %, 8473 MiB
54,0 %, 0 %, 8473 MiB
55,0 %, 0 %, 10 MiB
56,0 %, 0 %, 10 MiB
132,0 %, 0 %, 10 MiB
133,0 %, 0 %, 10 MiB
134,0 %, 0 %, 10 MiB
135,0 %, 0 %, 10 MiB
136,0 %, 0 %, 145 MiB
137,0 %, 0 %, 241 MiB
138,0 %, 0 %, 241 MiB
139,0 %, 0 %, 241 MiB
140,0 %, 0 %, 241 MiB
141,0 %, 0 %, 241 MiB
142,0 %, 0 %, 241 MiB
143,0 %, 0 %, 241 MiB
144,0 %, 0 %, 241 MiB
145,0 %, 0 %, 2297 MiB
146,0 %, 0 %, 2297 MiB
147,0 %, 0 %, 2297 MiB
148,0 %, 0 %, 2297 MiB
149,0 %, 0 %, 2297 MiB
150,0 %, 0 %, 2297 MiB
151,0 %, 0 %, 8477 MiB
152,0 %, 0 %, 8477 MiB
153,0 %, 0 %, 8477 MiB
154,0 %, 0 %, 8477 MiB
155,0 %, 0 %, 8477 MiB
156,95 %, 55 %, 8477 MiB
157,90 %, 42 %, 8477 MiB
158,86 %, 57 %, 8477 MiB
159,80 %, 43 %, 8477 MiB
160,93 %, 45 %, 8477 MiB
161,87 %, 61 %, 8477 MiB
162,0 %, 0 %, 8477 MiB
163,0 %, 0 %, 8477 MiB
164,0 %, 0 %, 8477 MiB
165,0 %, 0 %, 8477 MiB
166,0 %, 0 %, 8477 MiB
167,0 %, 0 %, 8477 MiB
168,0 %, 0 %, 8477 MiB
169,0 %, 0 %, 8477 MiB
170,0 %, 0 %, 8477 MiB
171,0 %, 0 %, 8477 MiB
172,0 %, 0 %, 8477 MiB
173,0 %, 0 %, 8477 MiB
174,0 %, 0 %, 8477 MiB
175,86 %, 54 %, 8477 MiB
176,79 %, 46 %, 8477 MiB
177,80 %, 59 %, 8477 MiB
178,81 %, 45 %, 8477 MiB
179,94 %, 50 %, 8477 MiB
180,84 %, 51 %, 8477 MiB
181,89 %, 37 %, 8477 MiB
182,87 %, 63 %, 8477 MiB
183,91 %, 47 %, 8477 MiB
184,84 %, 60 %, 8477 MiB
185,82 %, 56 %, 8477 MiB
186,87 %, 53 %, 8477 MiB
187,87 %, 52 %, 8477 MiB
188,84 %, 52 %, 8477 MiB
189,95 %, 49 %, 8477 MiB
190,85 %, 57 %, 8477 MiB
191,87 %, 64 %, 8477 MiB
192,92 %, 43 %, 8477 MiB
193,86 %, 63 %, 8477 MiB
194,90 %, 44 %, 8477 MiB
195,84 %, 51 %, 8477 MiB
196,85 %, 45 %, 8477 MiB
197,0 %, 0 %, 8477 MiB
198,0 %, 0 %, 8477 MiB
199,0 %, 0 %, 10 MiB
200,0 %, 0 %, 10 MiB
201,0 %, 0 %, 10 MiB
202,0 %, 0 %, 10 MiB
203,0 %, 0 %, 10 MiB
204,0 %, 0 %, 10 MiB
205,0 %, 0 %, 10 MiB
206,0 %, 0 %, 10 MiB
207,0 %, 0 %, 10 MiB
208,0 %, 0 %, 10 MiB
209,0 %, 0 %, 10 MiB
210,0 %, 0 %, 10 MiB
211,0 %, 0 %, 10 MiB
212,0 %, 0 %, 10 MiB
213,0 %, 0 %, 10 MiB
214,0 %, 0 %, 10 MiB
215,0 %, 0 %, 10 MiB
216,0 %, 0 %, 10 MiB
217,0 %, 0 %, 10 MiB
218,0 %, 0 %, 10 MiB
219,0 %, 0 %, 10 MiB
220,0 %, 0 %, 10 MiB
221,0 %, 0 %, 10 MiB
222,0 %, 0 %, 10 MiB
223,0 %, 0 %, 10 MiB
224,0 %, 0 %, 10 MiB
225,0 %, 0 %, 10 MiB
226,0 %, 0 %, 10 MiB
227,0 %, 0 %, 10 MiB
228,0 %, 0 %, 10 MiB
229,0 %, 0 %, 10 MiB
230,0 %, 0 %, 10 MiB
231,0 %, 0 %, 10 MiB
232,0 %, 0 %, 10 MiB
233,0 %, 0 %, 10 MiB
234,0 %, 0 %, 10 MiB
235,0 %, 0 %, 10 MiB
236,0 %, 0 %, 10 MiB
237,0 %, 0 %, 10 MiB
238,0 %, 0 %, 10 MiB
239,0 %, 0 %, 10 MiB
240,0 %, 0 %, 10 MiB
241,0 %, 0 %, 10 MiB
242,0 %, 0 %, 10 MiB
243,0 %, 0 %, 10 MiB
244,0 %, 0 %, 10 MiB
245,0 %, 0 %, 10 MiB
246,0 %, 0 %, 10 MiB
247,0 %, 0 %, 10 MiB
248,0 %, 0 %, 10 MiB
249,0 %, 0 %, 10 MiB
250,0 %, 0 %, 10 MiB
251,0 %, 0 %, 10 MiB
252,0 %, 0 %, 10 MiB
253,0 %, 0 %, 10 MiB
254,0 %, 0 %, 10 MiB
255,0 %, 0 %, 10 MiB
256,0 %, 0 %, 10 MiB
257,0 %, 0 %, 10 MiB
258,0 %, 0 %, 10 MiB
259,0 %, 0 %, 10 MiB
260,0 %, 0 %, 10 MiB
261,0 %, 0 %, 10 MiB
