gpu num, mem allocation, gpu utilization, mem utilization, Speedup(Speed), Scalibility(Throughput)
1, 10759MiB, 100%, 61%, 1(1.726), 1(55)
2, 8469MiB, 93%, 53%, 1.3(2.26), 0.65(72)
4, 4375MiB, 83%, 43%, 1.94(3.35), 0.48(107)
